id,level,damage,cooldown,count,speed,area,range,penetrate,duration,attack_type,prefab_name,desc_key,icon_name
100,1,10,2,1,10,1,5,0,0,1,Bullet,bullet_lv1,Bullet
100,2,20,2,1,10,1,5,0,0,1,Bullet,bullet_lv2,Bullet
100,3,20,1.5,2,10,1,5,0,0,1,Bullet,bullet_lv3,Bullet
100,4,30,1.5,2,10,1,5,0,0,1,Bullet,bullet_lv4,Bullet
100,5,30,1,3,10,1,5,0,0,1,Bullet,bullet_lv5,Bullet
200,1,10,3,1,10,1,5,0,0,1,Bullet_red,bullet_red_lv1,Bullet_red
200,2,20,2.5,1,10,1,5,0,0,1,Bullet_red,bullet_red_lv2,Bullet_red
200,3,20,2,2,10,1,5,0,0,1,Bullet_red,bullet_red_lv3,Bullet_red
200,4,30,1.5,2,10,1,5,0,0,1,Bullet_red,bullet_red_lv4,Bullet_red
200,5,30,1,3,10,1,5,0,0,1,Bullet_red,bullet_red_lv5,Bullet_red
300,1,10,2.5,1,10,1,5,0,0,1,Bullet_blue,bullet_blue_lv1,Bullet_blue
300,2,20,1.5,1,10,1,5,0,0,1,Bullet_blue,bullet_blue_lv2,Bullet_blue
300,3,20,1,2,10,1,5,0,0,1,Bullet_blue,bullet_blue_lv3,Bullet_blue
300,4,30,0.5,2,10,1,5,0,0,1,Bullet_blue,bullet_blue_lv4,Bullet_blue
300,5,30,0.5,3,10,1,5,0,0,1,Bullet_blue,bullet_blue_lv5,Bullet_blue
400,1,10,4,1,10,1,5,0,0,1,Bullet_green,bullet_green_lv1,Bullet_green
400,2,20,3.5,1,10,1,5,0,0,1,Bullet_green,bullet_green_lv2,Bullet_green
400,3,20,2.5,2,10,1,5,0,0,1,Bullet_green,bullet_green_lv3,Bullet_green
400,4,30,1.5,2,10,1,5,0,0,1,Bullet_green,bullet_green_lv4,Bullet_green
400,5,30,1,3,10,1,5,0,0,1,Bullet_green,bullet_green_lv5,Bullet_green
